,005930.KS,009540.KS,034020.KS,105560.KS,005380.KS,005490.KS,207940.KS,090430.KS,035420.KS
2019-12-20,47752.31640625,119175.078125,5135.96435546875,35120.69921875,96175.53125,193100.5,603229.6875,192570.015625,177955.8125
2019-12-23,47325.95703125,120124.6796875,5180.9375,35729.30859375,95012.1328125,191138.078125,642785.75,187791.609375,178440.6875
2019-12-24,46899.59765625,119175.078125,5126.9697265625,35407.08984375,94624.328125,188390.71875,634418.125,189225.15625,176501.109375
2019-12-26,47240.68359375,118225.4765625,5117.97509765625,35371.29296875,95012.1328125,190745.609375,629093.3125,187791.609375,175046.4375
2019-12-27,48488.5078125,120124.6796875,5162.9482421875,36015.90625,95807.203125,190346.546875,653435.5,187311.328125,178327.296875
2019-12-30,47887.76953125,120124.6796875,5144.958984375,35716.09375,95807.203125,188750.359375,658760.3125,192114.171875,181242.703125
2020-01-02,47372.84765625,119175.078125,5153.95361328125,34891.58984375,93819.4921875,188351.265625,651914.0625,199318.484375,177355.46875
2020-01-03,47630.3046875,122973.5,5144.958984375,35341.3125,92229.359375,189149.40625,642025.0625,198357.890625,176383.640625
2020-01-06,47630.3046875,121074.28125,4992.04931640625,34929.05859375,92229.359375,184360.828125,626811.1875,198838.171875,175411.859375
2020-01-07,47887.76953125,121074.28125,4974.06005859375,35228.890625,91831.8203125,185158.875,637460.9375,213727.015625,181728.609375
2020-01-08,48745.96875,117750.671875,4776.1767578125,34591.76953125,89049.03125,181966.515625,621486.375,205562.15625,177841.375
2020-01-09,50290.7421875,122973.5,4875.1181640625,34854.109375,88651.4765625,186755.109375,638982.3125,203641.03125,180756.796875
2020-01-10,51063.12890625,124397.890625,4938.0810546875,35078.9765625,90241.6328125,189548.46875,664085.1875,211805.890625,182700.4375
2020-01-13,51492.22265625,124872.703125,5001.0439453125,35004.01953125,91434.265625,190346.546875,670170.75,222852.421875,182700.4375
2020-01-14,51492.22265625,122498.6875,4992.04931640625,35865.99609375,92229.359375,193139.890625,661803.125,225253.890625,185129.953125
2020-01-15,50634.0234375,122498.6875,5108.97998046875,35903.4765625,91434.265625,193139.890625,661042.375,225253.890625,186101.765625
2020-01-16,52092.9765625,121549.0859375,5135.96435546875,35978.4296875,94217.046875,192740.828125,664085.1875,227175.015625,186101.765625
2020-01-17,52607.890625,121549.0859375,5090.99072265625,35903.4765625,94217.046875,192740.828125,664845.875,227175.015625,185615.875
2020-01-20,53551.921875,122023.8828125,5010.03857421875,36203.29296875,93819.4921875,197130.390625,666367.25,216128.46875,182214.53125
2020-01-21,52693.71484375,119649.8828125,4956.07080078125,35491.23046875,93024.40625,194736.125,666367.25,210365.03125,176869.5625
2020-01-22,53466.1015625,121074.28125,5216.91650390625,35641.13671875,100975.2421875,192740.828125,687666.6875,214687.578125,180756.796875
2020-01-23,52178.7890625,118700.28125,5522.73583984375,35004.01953125,103758.0078125,191942.765625,734829.625,204121.328125,177841.375
2020-01-28,50462.38671875,113002.6640625,5594.69287109375,33355.0078125,104155.546875,180370.34375,751564.875,186831.03125,173468.203125
2020-01-29,50719.84375,112527.8671875,5351.83642578125,33167.6171875,104155.546875,180769.328125,747000.75,194515.59375,174925.953125
2020-01-30,49089.2578125,110628.6640625,5046.017578125,32830.31640625,101372.7734375,179173.1875,753086.25,186350.75,174925.953125
2020-01-31,48402.6953125,108254.65625,4920.091796875,32942.7578125,99385.0703125,176379.8125,737111.75,180587.34375,174440.046875
2020-02-03,49089.2578125,107305.046875,4839.1396484375,32867.8046875,98192.453125,171192.171875,729504.8125,183469.03125,172496.421875
2020-02-04,50548.20703125,108254.65625,4893.10791015625,32605.458984375,98590.0,170793.140625,749282.8125,189232.453125,175411.859375
2020-02-05,51063.12890625,104456.2421875,4911.09716796875,33130.140625,98590.0,171192.171875,745479.375,174823.90625,176383.640625
2020-02-06,52436.25,117275.875,5028.02783203125,33917.171875,104950.640625,178774.109375,789599.5625,175784.484375,176383.640625
2020-02-07,51835.515625,114427.0703125,5001.0439453125,33280.0546875,104155.546875,177976.03125,789599.5625,170981.59375,179785.0
2020-02-10,51234.7734375,114427.0703125,5001.0439453125,32418.068359375,103360.4765625,175980.75,806334.8125,174823.90625,178327.296875
2020-02-11,51406.40625,114427.0703125,5019.033203125,32305.634765625,105348.15625,177177.921875,803292.0625,175304.1875,179299.078125
2020-02-12,51921.32421875,114427.0703125,5028.02783203125,32605.458984375,108130.96875,177177.921875,806334.8125,182028.1875,179785.0
2020-02-13,52092.9765625,110628.6640625,4875.1181640625,32043.2890625,105745.7265625,176379.8125,806334.8125,181547.890625,179299.078125
2020-02-14,53036.9921875,110628.6640625,5117.97509765625,32043.2890625,106143.2421875,175182.671875,804813.4375,182988.734375,181242.703125
2020-02-17,52779.5390625,109204.2578125,5414.79931640625,31780.95703125,107733.4140625,174384.578125,789599.5625,186831.03125,183186.34375
2020-02-18,51320.58984375,109679.0546875,5216.91650390625,31293.740234375,105348.15625,173586.5,780471.25,182508.46875,181242.703125
2020-02-19,51663.8671875,109679.0546875,5037.02294921875,31331.220703125,104553.09375,172788.390625,768300.125,180587.34375,184158.140625
2020-02-20,51492.22265625,109204.2578125,4920.091796875,31631.048828125,103360.4765625,171990.3125,758411.125,176264.75,184644.046875
2020-02-21,50805.66015625,106355.4453125,4839.1396484375,30844.01171875,101770.3203125,168797.890625,740154.5,174823.90625,184158.140625
2020-02-24,48745.96875,100657.8359375,4632.26171875,29269.955078125,97397.3515625,162413.109375,701359.125,166178.765625,178813.1875
2020-02-25,49689.99609375,104456.2421875,4668.24072265625,29419.865234375,97397.3515625,161215.953125,728744.125,168099.890625,185129.953125
