ticker,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,exit_reason
005380.KS,2022-04-22,2022-05-23,20,148804.0,155417.0,4.44,force_liquidate
090430.KS,2022-05-17,2022-05-30,10,152258.0,156622.0,2.87,secretary_trigger
105560.KS,2022-05-27,2022-06-13,10,49557.0,44584.0,-10.03,stop_loss
005490.KS,2022-05-27,2022-06-13,10,260140.0,237134.0,-8.84,stop_loss
207940.KS,2022-05-26,2022-06-24,20,1291530.0,1277692.0,-1.07,force_liquidate
009540.KS,2022-07-01,2022-07-06,4,88218.0,77962.0,-11.63,stop_loss
005930.KS,2022-06-29,2022-07-08,8,53618.0,54265.0,1.21,secretary_trigger
090430.KS,2022-06-30,2022-07-13,10,126073.0,131892.0,4.62,secretary_trigger
105560.KS,2022-06-30,2022-07-15,12,40310.0,36878.0,-8.52,stop_loss
035420.KS,2022-06-30,2022-07-21,16,233880.0,244112.0,4.37,secretary_trigger
207940.KS,2022-07-13,2022-07-27,11,1279230.0,1293068.0,1.08,secretary_trigger
005380.KS,2022-07-22,2022-08-02,8,158751.0,163322.0,2.88,secretary_trigger
105560.KS,2022-07-15,2022-08-05,16,36878.0,42194.0,14.42,secretary_trigger
035420.KS,2022-08-12,2022-08-23,7,258729.0,234854.0,-9.23,stop_loss
005930.KS,2022-08-17,2022-09-15,20,55837.0,51769.0,-7.28,force_liquidate
090430.KS,2022-09-05,2022-09-16,8,113951.0,120254.0,5.53,secretary_trigger
035420.KS,2022-09-15,2022-09-22,6,219749.0,201234.0,-8.43,stop_loss
005930.KS,2022-09-22,2022-10-04,8,50290.0,51380.0,2.17,secretary_trigger
035420.KS,2022-09-22,2022-10-04,8,201234.0,172787.0,-14.14,stop_loss
035420.KS,2022-10-04,2022-10-07,4,172787.0,156634.0,-9.35,stop_loss
034020.KS,2022-10-06,2022-10-11,3,14800.0,13500.0,-8.78,stop_loss
034020.KS,2022-10-11,2022-10-20,8,13500.0,14050.0,4.07,secretary_trigger
009540.KS,2022-10-11,2022-10-25,11,72740.0,66187.0,-9.01,stop_loss
090430.KS,2022-10-20,2022-10-26,5,95428.0,86991.0,-8.84,stop_loss
035420.KS,2022-10-07,2022-11-02,18,156634.0,170339.0,8.75,secretary_trigger
005380.KS,2022-10-24,2022-11-02,8,134232.0,137141.0,2.17,secretary_trigger
009540.KS,2022-10-25,2022-11-04,9,66187.0,72170.0,9.04,secretary_trigger
090430.KS,2022-10-26,2022-11-04,8,86991.0,106192.0,22.07,secretary_trigger
207940.KS,2022-10-31,2022-11-10,9,1348419.0,1394545.0,3.42,secretary_trigger
005490.KS,2022-11-01,2022-11-11,9,230984.0,259120.0,12.18,secretary_trigger
